year,section_name,births_of_new_enterprises,active_enterprises,deaths_of_new_enterprises,high_growth_enterprises,survivors_1yr,survival_rate
2019,Accommodation & food services,28790,185020,25265,1280,27115,0.941820076415422
2019,Construction,48570,390405,38945,900,45490,0.9365863701873585
2019,Manufacturing,13630,150495,13500,1105,12840,0.942039618488628
2019,"Professional, scientific & technical",62305,532680,56665,1485,59470,0.9544980338656609
2019,Wholesale and retail; repair of motor vehicles,48745,433085,45000,1750,45830,0.9401989947686942
2020,Accommodation & food services,25185,185375,20870,1130,23895,0.9487790351399643
2020,Construction,42485,392950,33735,855,39815,0.9371542897493232
2020,Manufacturing,13315,150660,11840,990,12565,0.9436725497559144
2020,"Professional, scientific & technical",51275,520795,59080,1415,48495,0.9457825450999512
2020,Wholesale and retail; repair of motor vehicles,55755,437925,39910,1615,49830,0.8937315039009954
2021,Accommodation & food services,30965,195955,20695,1040,29300,0.9462296140804134
2021,Construction,52975,411345,36240,720,49965,0.9431807456347334
2021,Manufacturing,14235,153185,13655,840,13385,0.9402880224798033
2021,"Professional, scientific & technical",47725,502635,64055,1400,45150,0.9460450497642745
2021,Wholesale and retail; repair of motor vehicles,61210,457050,40150,1405,57235,0.9350596307792844
2022,Accommodation & food services,28550,201290,26185,1335,26655,0.9336252189141856
2022,Construction,49390,420430,42635,740,46190,0.935209556590403
2022,Manufacturing,13660,151855,15275,840,12480,0.9136163982430454
2022,"Professional, scientific & technical",47445,481200,58985,1550,44875,0.9458320160185478
2022,Wholesale and retail; repair of motor vehicles,47755,460120,54215,1460,43290,0.9065019369699507
2023,Accommodation & food services,28800,202560,29600,1790,27045,0.9390625
2023,Construction,47115,422160,42535,800,44055,0.9350525310410697
2023,Manufacturing,10510,146215,13575,950,9780,0.9305423406279734
2023,"Professional, scientific & technical",49215,466070,44475,1810,46780,0.9505232144671341
2023,Wholesale and retail; repair of motor vehicles,44050,447440,48235,1645,40855,0.9274687854710556
