division,sic_section,section_name
10,C,Manufacturing
11,C,Manufacturing
12,C,Manufacturing
13,C,Manufacturing
14,C,Manufacturing
15,C,Manufacturing
16,C,Manufacturing
17,C,Manufacturing
18,C,Manufacturing
19,C,Manufacturing
20,C,Manufacturing
21,C,Manufacturing
22,C,Manufacturing
23,C,Manufacturing
24,C,Manufacturing
25,C,Manufacturing
26,C,Manufacturing
27,C,Manufacturing
28,C,Manufacturing
29,C,Manufacturing
30,C,Manufacturing
31,C,Manufacturing
32,C,Manufacturing
33,C,Manufacturing
41,F,Construction
42,F,Construction
43,F,Construction
45,G,Wholesale and retail; repair of motor vehicles
46,G,Wholesale and retail; repair of motor vehicles
47,G,Wholesale and retail; repair of motor vehicles
55,I,Accommodation & food services
56,I,Accommodation & food services
69,M,"Professional, scientific & technical"
70,M,"Professional, scientific & technical"
71,M,"Professional, scientific & technical"
72,M,"Professional, scientific & technical"
73,M,"Professional, scientific & technical"
74,M,"Professional, scientific & technical"
75,M,"Professional, scientific & technical"
